code	name	Component	type	area	date	variable	value	hour	DateTime
GB0031R	Aston_Hill	NO2	background	rural	2014-09-03	X00.00.00.59	6.5637	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-03	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-04	X00.00.00.59	13.930012	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-04	X00.00.00.59	14.531812	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-04	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-05	X00.00.00.59	5.293162	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-05	X00.00.00.59	13.462725	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-05	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-06	X00.00.00.59	15.661463	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-06	X00.00.00.59	10.521937	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-06	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-07	X00.00.00.59	5.888588	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-07	X00.00.00.59	3.212362	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-07	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-08	X00.00.00.59	4.7379	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-08	X00.00.00.59	3.143512	0	2014-07-01
GB0729A	Aberdeen	PM10	background	urban	2014-09-08	X00.00.00.59	NA	0	2014-07-01
GB0729A	Aberdeen	NO2	background	urban	2014-09-09	X00.00.00.59	4.0392	0	2014-07-01
GB0031R	Aston_Hill	NO2	background	rural	2014-09-09	X00.00.00.59	2.804362	0	2014-07-01
